,AlphaRatio,QueueRatio,BlockedLane
213,0.0,0.0,Short
214,0.0,0.0,Short
215,0.0,0.0,Short
216,0.0,0.0,Short
217,0.0,0.0,Short
218,0.0,0.0,Short
219,0.0,0.0,Short
220,0.0,0.0,Short
221,0.0,0.0,Short
222,0.0,0.0,Short
223,0.0,0.0,Short
224,0.0,0.0,Short
225,0.0,0.0,Short
226,0.0,0.0,Short
227,0.0,0.0,Short
228,0.0,0.0,Short
229,0.0,0.0,Short
230,0.0,0.0,Short
231,0.0,0.0,Short
232,0.0,0.0,Short
233,0.0,0.0,Short
234,0.0,0.0,Short
235,0.0,0.0,Short
236,0.0,0.0,Short
237,0.0,0.0,Short
238,0.0,0.0,Short
239,0.0,0.0,Short
240,0.0,0.0,Short
241,0.0,0.0,Short
242,0.0,0.0,Short
243,0.0,0.0,Short
244,0.0,0.0,Short
245,0.0,0.0,Short
246,0.0,0.0,Short
247,0.0,0.0,Short
248,0.0,0.0,Short
249,0.0,0.0,Short
250,0.0,0.0,Short
251,0.0,0.0,Short
252,0.0,0.0,Short
253,0.0,0.0,Short
254,0.0,0.0,Short
255,0.0,0.0,Short
256,0.0,0.0,Short
257,0.0,0.0,Short
258,0.0,0.0,Short
259,0.0,0.0,Short
260,0.0,0.0,Short
261,0.0,0.0,Short
262,0.0,0.0,Short
263,0.0,0.0,Short
264,0.0,0.0,Short
265,0.0,0.0,Short
266,0.0,0.0,Short
267,0.0,0.0,Short
268,0.0,0.0,Short
269,0.0,0.0,Short
270,0.0,0.0,Short
271,0.0,0.0,Short
272,0.0,0.0,Short
273,0.0,0.0,Short
274,0.0,0.0,Short
275,0.0,0.0,Short
276,0.0,0.0,Short
277,0.0,0.0,Short
278,0.0,0.0,Short
279,0.0,0.0,Short
280,0.0,0.0,Short
281,0.0,0.0,Short
282,0.0,0.0,Short
283,0.0,0.0,Short
284,0.0,0.0,Short
285,0.0,0.0,Short
286,0.0,0.0,Short
287,0.0,0.0,Short
288,0.0,0.0,Short
289,0.0,0.0,Short
290,0.0,0.0,Short
291,0.0,0.0,Short
292,0.0,0.0,Short
293,0.0,0.0,Short
294,0.0,0.0,Short
295,0.0,0.0,Short
296,0.0,0.0,Short
297,0.0,0.0,Short
298,0.0,0.0,Short
299,0.0,0.0,Short
300,0.0,0.0,Short
301,0.0,0.0,Short
302,0.0,0.0,Short
303,0.0,0.0,Short
304,0.0,0.0,Short
305,0.0,0.0,Short
306,0.0,0.0,Short
307,0.0,0.0,Short
308,0.0,0.0,Short
309,0.0,0.0,Short
310,0.0,0.0,Short
311,0.0,0.0,Short
312,0.0,0.0,Short
313,0.0,0.0,Short
314,0.0,0.0,Short
315,0.0,0.0,Short
316,0.0,0.0,Short
317,0.0,0.0,Short
318,0.0,0.0,Short
319,0.0,0.0,Short
320,0.0,0.0,Short
321,0.0,0.0,Short
322,0.0,0.0,Short
323,0.0,0.0,Short
324,0.0,0.0,Short
325,0.0,0.0,Short
326,0.0,0.0,Short
327,0.0,0.0,Short
328,0.0,0.0,Short
329,0.0,0.0,Short
330,0.0,0.0,Short
331,0.0,0.0,Short
332,0.0,0.0,Short
333,0.0,0.0,Short
334,0.0,0.0,Short
335,0.0,0.0,Short
336,0.0,0.0,Short
337,0.0,0.0,Short
338,0.0,0.0,Short
339,0.0,0.0,Short
340,0.0,0.0,Short
341,0.0,0.0,Short
342,0.0,0.0,Short
343,0.0,0.0,Short
344,0.0,0.0,Short
345,0.0,0.0,Short
346,0.0,0.0,Short
347,0.0,0.0,Short
348,0.0,0.0,Short
349,0.0,0.0,Short
350,0.0,0.0,Short
351,0.0,0.0,Short
352,0.0,0.0,Short
353,0.0,0.0,Short
354,0.0,0.0,Short
355,0.0,0.0,Short
356,0.0,0.0,Short
357,0.0,0.0,Short
358,0.0,0.0,Short
359,0.0,0.0,Short
360,0.0,0.0,Short
361,0.0,0.0,Short
362,0.0,0.0,Short
363,0.0,0.0,Short
364,0.0,0.0,Short
365,0.0,0.0,Short
366,0.0,0.0,Short
367,0.0,0.0,Short
368,0.0,0.0,Short
369,0.0,0.0,Short
370,0.0,0.0,Short
371,0.0,0.0,Short
372,0.0,0.0,Short
373,0.0,0.0,Short
374,0.0,0.0,Short
375,0.0,0.0,Short
376,0.0,0.0,Short
377,0.0,0.0,Short
378,0.0,0.0,Short
379,0.0,0.0,Short
380,0.0,0.0,Short
381,0.0,0.0,Short
382,0.0,0.0,Short
383,0.0,0.0,Short
384,0.0,0.0,Short
385,0.0,0.0,Short
386,0.0,0.0,Short
387,0.0,0.0,Short
388,0.0,0.0,Short
389,0.0,0.0,Short
390,0.0,0.0,Short
391,0.0,0.0,Short
392,0.0,0.0,Short
393,0.0,0.0,Short
394,0.0,0.0,Short
395,0.0,0.0,Short
396,0.0,0.0,Short
397,0.0,0.0,Short
398,0.0,0.0,Short
399,0.0,0.0,Short
400,0.0,0.0,Short
401,0.0,0.0,Short
402,0.0,0.0,Short
403,0.0,0.0,Short
404,0.0,0.0,Short
405,0.0,0.0,Short
406,0.0,0.0,Short
407,0.0,0.0,Short
408,0.0,0.0,Short
409,0.0,0.0,Short
410,0.0,0.0,Short
411,0.0,0.0,Short
412,0.0,0.0,Short
413,0.0,0.0,Short
414,0.0,0.0,Short
415,0.0,0.0,Short
416,0.0,0.0,Short
417,0.0,0.0,Short
418,0.0,0.0,Short
419,0.0,0.0,Short
420,0.0,0.0,Short
421,0.0,0.0,Short
422,0.0,0.0,Short
423,0.0,0.0,Short
424,0.0,0.0,Short
425,0.0,0.0,Short
426,0.0,0.0,Short
427,0.0,0.0,Short
428,0.0,0.0,Short
429,0.0,0.0,Short
430,0.0,0.0,Short
431,0.0,0.0,Short
432,0.0,0.0,Short
433,0.0,0.0,Short
434,0.0,0.0,Short
435,0.0,0.0,Short
436,0.0,0.0,Short
437,0.0,0.0,Short
438,0.0,0.0,Short
439,0.0,0.0,Short
440,0.0,0.0,Short
441,0.0,0.0,Short
442,0.0,0.0,Short
443,0.0,0.0,Short
444,0.0,0.0,Short
445,0.0,0.0,Short
446,0.0,0.0,Short
447,0.0,0.0,Short
448,0.0,0.0,Short
449,0.0,0.0,Short
450,0.0,0.0,Short
451,0.0,0.0,Short
452,0.0,0.0,Short
453,0.0,0.0,Short
454,0.0,0.0,Short
455,0.0,0.0,Short
456,0.0,0.0,Short
457,0.0,0.0,Short
458,0.0,0.0,Short
459,0.0,0.0,Short
460,0.0,0.0,Short
461,0.0,0.0,Short
462,0.0,0.0,Short
463,0.0,0.0,Short
464,0.0,0.0,Short
465,0.0,0.0,Short
466,0.0,0.0,Short
467,0.0,0.0,Short
468,0.0,0.0,Short
469,0.0,0.0,Short
470,0.0,0.0,Short
471,0.0,0.0,Short
472,0.0,0.0,Short
473,0.0,0.0,Short
474,0.0,0.0,Short
475,0.0,0.0,Short
476,0.0,0.0,Short
477,0.0,0.0,Short
478,0.0,0.0,Short
479,0.0,0.0,Short
480,0.0,0.0,Short
481,0.0,0.0,Short
482,0.0,0.0,Short
483,0.0,0.0,Short
484,0.0,0.0,Short
485,0.0,0.0,Short
486,0.0,0.0,Short
487,0.0,0.0,Short
488,0.0,0.0,Short
489,0.0,0.0,Short
490,0.0,0.0,Short
491,0.0,0.0,Short
492,0.0,0.0,Short
493,0.0,0.0,Short
494,0.0,0.0,Short
495,0.0,0.0,Short
496,0.0,0.0,Short
497,0.0,0.0,Short
498,0.0,0.0,Short
499,0.0,0.0,Short
500,0.0,0.0,Short
501,0.0,0.0,Short
502,0.0,0.0,Short
503,0.0,0.0,Short
504,0.0,0.0,Short
505,0.0,0.0,Short
506,0.0,0.0,Short
507,0.0,0.0,Short
508,0.0,0.0,Short
509,0.0,0.0,Short
510,0.0,0.0,Short
511,0.0,0.0,Short
512,0.0,0.0,Short
513,0.0,0.0,Short
514,0.0,0.0,Short
515,0.0,0.0,Short
516,0.0,0.0,Short
517,0.0,0.0,Short
518,0.0,0.0,Short
519,0.0,0.0,Short
520,0.0,0.0,Short
521,0.0,0.0,Short
522,0.0,0.0,Short
523,0.0,0.0,Short
524,0.0,0.0,Short
525,0.0,0.0,Short
526,0.0,0.0,Short
527,0.0,0.0,Short
528,0.0,0.0,Short
529,0.0,0.0,Short
530,0.0,0.0,Short
531,0.0,0.0,Short
532,0.0,0.0,Short
533,0.0,0.0,Short
534,0.0,0.0,Short
535,0.0,0.0,Short
536,0.0,0.0,Short
537,0.0,0.0,Short
538,0.0,0.0,Short
539,0.0,0.0,Short
540,0.0,0.0,Short
541,0.0,0.0,Short
542,0.0,0.0,Short
543,0.0,0.0,Short
544,0.0,0.0,Short
545,0.0,0.0,Short
546,0.0,0.0,Short
547,0.0,0.0,Short
548,0.0,0.0,Short
549,0.0,0.0,Short
550,0.0,0.0,Short
551,0.0,0.0,Short
552,0.0,0.0,Short
553,0.0,0.0,Short
554,0.0,0.0,Short
555,0.0,0.0,Short
556,0.0,0.0,Short
557,0.0,0.0,Short
558,0.0,0.0,Short
559,0.0,0.0,Short
560,0.0,0.0,Short
561,0.0,0.0,Short
562,0.0,0.0,Short
563,0.0,0.0,Short
564,0.0,0.0,Short
565,0.0,0.0,Short
566,0.0,0.0,Short
567,0.0,0.0,Short
568,0.0,0.0,Short
569,0.0,0.0,Short
570,0.0,0.0,Short
571,0.0,0.0,Short
572,0.0,0.0,Short
573,0.0,0.0,Short
574,0.0,0.0,Short
575,0.0,0.0,Short
576,0.0,0.0,Short
577,0.0,0.0,Short
578,0.0,0.0,Short
579,0.0,0.0,Short
580,0.0,0.0,Short
581,0.0,0.0,Short
582,0.0,0.0,Short
583,0.0,0.0,Short
584,0.0,0.0,Short
585,0.0,0.0,Short
586,0.0,0.0,Short
587,0.0,0.0,Short
588,0.0,0.0,Short
589,0.0,0.0,Short
590,0.0,0.0,Short
591,0.0,0.0,Short
592,0.0,0.0,Short
593,0.0,0.0,Short
594,0.0,0.0,Short
595,0.0,0.0,Short
596,0.0,0.0,Short
597,0.0,0.0,Short
598,0.0,0.0,Short
599,0.0,0.0,Short
600,0.0,0.0,Short
601,0.0,0.0,Short
602,0.0,0.0,Short
603,0.0,0.0,Short
604,0.0,0.0,Short
605,0.0,0.0,Short
606,0.0,0.0,Short
607,0.0,0.0,Short
608,0.0,0.0,Short
609,0.0,0.0,Short
610,0.0,0.0,Short
611,0.0,0.0,Short
612,0.0,0.0,Short
613,0.0,0.0,Short
614,0.0,0.0,Short
615,0.0,0.0,Short
616,0.0,0.0,Short
617,0.0,0.0,Short
618,0.0,0.0,Short
619,0.0,0.0,Short
620,0.0,0.0,Short
621,0.0,0.0,Short
622,0.0,0.0,Short
623,0.0,0.0,Short
624,0.0,0.0,Short
625,0.0,0.0,Short
626,0.0,0.0,Short
627,0.0,0.0,Short
628,0.0,0.0,Short
629,0.0,0.0,Short
630,0.0,0.0,Short
631,0.0,0.0,Short
632,0.0,0.0,Short
633,0.0,0.0,Short
634,0.0,0.0,Short
635,0.0,0.0,Short
636,0.0,0.0,Short
637,0.0,0.0,Short
638,0.0,0.0,Short
639,0.0,0.0,Short
640,0.0,0.0,Short
641,0.0,0.0,Short
642,0.0,0.0,Short
643,0.0,0.0,Short
644,0.0,0.0,Short
645,0.0,0.0,Short
646,0.0,0.0,Short
647,0.0,0.0,Short
648,0.0,0.0,Short
649,0.0,0.0,Short
650,0.0,0.0,Short
651,0.0,0.0,Short
652,0.0,0.0,Short
653,0.0,0.0,Short
654,0.0,0.0,Short
655,0.0,0.0,Short
656,0.0,0.0,Short
657,0.0,0.0,Short
658,0.0,0.0,Short
659,0.0,0.0,Short
660,0.0,0.0,Short
661,0.0,0.0,Short
662,0.0,0.0,Short
663,0.0,0.0,Short
664,0.0,0.0,Short
665,0.0,0.0,Short
666,0.0,0.0,Short
667,0.0,0.0,Short
668,0.0,0.0,Short
669,0.0,0.0,Short
670,0.0,0.0,Short
671,0.0,0.0,Short
672,0.0,0.0,Short
673,0.0,0.0,Short
674,0.0,0.0,Short
675,0.0,0.0,Short
676,0.0,0.0,Short
677,0.0,0.0,Short
678,0.0,0.0,Short
679,0.0,0.0,Short
680,0.0,0.0,Short
681,0.0,0.0,Short
682,0.0,0.0,Short
683,0.0,0.0,Short
684,0.0,0.0,Short
685,0.0,0.0,Short
686,0.0,0.0,Short
687,0.0,0.0,Short
688,0.0,0.0,Short
689,0.0,0.0,Short
690,0.0,0.0,Short
691,0.0,0.0,Short
692,0.0,0.0,Short
693,0.0,0.0,Short
694,0.0,0.0,Short
695,0.0,0.0,Short
696,0.0,0.0,Short
697,0.0,0.0,Short
698,0.0,0.0,Short
699,0.0,0.0,Short
700,0.0,0.0,Short
701,0.0,0.0,Short
702,0.0,0.0,Short
703,0.0,0.0,Short
704,0.0,0.0,Short
705,0.0,0.0,Short
706,0.0,0.0,Short
707,0.0,0.0,Short
708,0.0,0.0,Short
709,0.0,0.0,Short
710,0.0,0.0,Short
711,0.0,0.0,Short
712,0.0,0.0,Short
713,0.0,0.0,Short
714,0.0,0.0,Short
715,0.0,0.0,Short
716,0.0,0.0,Short
717,0.0,0.0,Short
718,0.0,0.0,Short
719,0.0,0.0,Short
720,0.0,0.0,Short
721,0.0,0.0,Short
